时间,货币和准货币(M2)供应量期末值(亿元),货币和准货币(M2)供应量同比增长(%),货币(M1)供应量期末值(亿元),货币(M1)供应量同比增长(%),流通中现金(M0)供应量期末值(亿元),流通中现金(M0)供应量同比增长(%)
2009年2月,506708.07,20.5,166149.6,10.9,35141.64,8.3
2009年1月,496135.31,18.8,165214.34,6.7,41082.37,12
2008年12月,475166.6,17.8,166217.13,9.1,34218.96,12.7
2008年11月,458644.66,14.8,157826.63,6.8,31607.36,9
2008年10月,453133.32,15,157194.36,8.9,31317.84,10.6
2008年9月,452898.71,15.3,155748.97,9.4,31724.88,9.3
2008年8月,448846.68,16,156889.92,11.5,30851.62,10.9
2008年7月,446362.17,16.4,154992.44,14,30687.19,12.3
2008年6月,443141.02,17.4,154820.15,14.2,30181.32,12.3
2008年5月,436221.6,18.1,153344.75,17.9,30169.3,12.9
2008年4月,429313.72,16.9,151694.91,19.1,30789.61,10.7
2008年3月,423054.53,16.2,150867.47,18,30433.07,11.1
2008年2月,421037.84,17.4,150177.88,19,32454.47,6
2008年1月,417846.17,18.9,154872.59,20.5,36673.15,31.2
2007年12月,403401.3,16.7,152519.17,21,30334.32,12.1
2007年11月,399757.91,18.5,148009.82,21.7,28987.92,13.6
2007年10月,394204.17,18.5,144649.33,22.2,28317.78,13.4
2007年9月,393098.91,18.5,142591.57,22.1,29030.58,13
2007年8月,387205.04,18.1,140993.21,22.8,27822.39,15
2007年7月,383884.88,18.5,136237.43,20.9,27326.26,15.1
2007年6月,377832.15,17.1,135847.4,20.9,26881.09,14.5
2007年5月,369718.15,16.7,130275.8,19.3,26727.97,13.9
2007年4月,367326.45,17.1,127678.33,20,27813.88,15.1
2007年3月,364104.66,17.3,127881.31,19.8,27387.95,16.7
2007年2月,358659.25,17.8,126258.08,21,30627.93,25.1
2007年1月,351498.77,15.8,128484.06,19.8,27949.13,-4.6
2006年12月,345577.91,16.9,126028.05,17.5,27072.62,12.7
2006年11月,337504.15,16.8,121644.95,16.8,25527.25,13.9
2006年10月,332747.17,17.1,118359.96,16.3,24964.16,14
2006年9月,331865.36,16.8,116814.1,15.7,25687.38,15.3
2006年8月,327885.67,17.9,114845.67,15.6,24185.36,13.3
2006年7月,324010.76,18.4,112653.04,15.3,23752.59,12.2
2006年6月,322756.35,18.4,112342.36,13.9,23469.08,12.6
2006年5月,316709.81,19.1,109219.22,14,23465.32,12.8
2006年4月,313702.34,18.9,106389.11,12.5,24155.73,11.5
2006年3月,310490.65,18.8,106737.08,12.7,23472.03,10.5
2006年2月,304516.27,18.8,104357.08,12.4,24482.02,8
2006年1月,303571.65,19.2,107250.68,10.6,29310.37,22.1
2005年12月,298755.48,17.6,107278.57,11.8,24031.67,11.9
2005年11月,292350.39,18.3,104125.78,12.7,22409.39,10.9
2005年10月,287591.61,18,101751.98,12.1,21892.98,9
2005年9月,287438.27,17.9,100964,11.6,22272.92,8.5
2005年8月,281288.22,17.3,99377.7,11.5,21351.56,9.4
2005年7月,276966.28,16.3,97674.1,11,21171.2,9.1
2005年6月,275785.53,15.7,98601.25,11.3,20848.76,9.6
2005年5月,269240.49,14.7,95802.01,10.4,20811.59,9.3
2005年4月,266992.66,14.1,94593.72,10,21666.56,9
2005年3月,264588.94,14,94743.19,9.9,21238.95,10.1
2005年2月,259357.29,13.9,92814.95,10.6,22667.97,14
2005年1月,257708.47,14.1,97079.03,15.3,24015.41,7.8
2004年12月,253207.7,14.6,95970.82,13.6,21468.3,8.7
2004年11月,247135.58,14,92387.13,13.8,20209.25,9.6
2004年10月,243740,13.5,90782,12.6,20078,10
2004年9月,243757,13.9,90439,13.7,20524,12.1
2004年8月,239729.19,13.6,89125.33,15.1,19517.94,10.9
2004年7月,234842.4,15.3,86780.37,15,19048.43,11.8
2004年6月,238427.49,16.2,88627.14,16.2,19017.58,12.2
2004年5月,234842.4,17.5,86780.37,18.6,19048.43,11.3
2004年4月,233627.86,19.1,85603.64,20,19878.4,14
2004年3月,231654.6,19.1,85815.57,20.1,19297.43,12.8
2004年2月,227050.72,19.4,83556.43,19.8,19893.44,10.9
2004年1月,225101.93,18.1,83805.9,15.7,22287.43,4.9
2003年12月,219226.81,19.6,84118.81,18.7,19746.23,14.3
2003年11月,214358.84,20.4,80815.22,18.9,18439.85,12.8
2003年10月,212505.4,21,80267.37,19.6,18250.94,14
2003年9月,211611.5,20.7,79164.14,18.5,18306.62,12.8
2003年8月,208692.4,21.6,77033.3,18.8,17607.08,12.1
2003年7月,204381.1,20.7,76153.04,20,17362.4,13.1
2003年6月,203071.74,20.8,75923.52,20.2,16957.18,12.3
2003年5月,197811.96,20.2,72778.15,18.8,17115.34,12.3
2003年4月,194476.98,19.2,71321.54,18,17441.44,9.9
2003年3月,192832.44,18.5,71439.21,20.1,17106.89,10.1
2003年2月,188444.37,18.1,69757.05,18.8,17937.58,7.8
2003年1月,188918.38,19.3,72406.05,19.5,21245.12,27
2002年12月,183246.94,16.8,70882.19,16.8,17278.43,10.1
2002年11月,178018.43,16.6,67993.28,18.5,16346.89,10.6
2002年10月,175534.74,17,67100.77,17.9,16015.18,10.6
2002年9月,175254.87,16.5,66800.29,15.9,16234.11,7.8
2002年8月,171524.2,15.5,64869.5,14.6,15713.28,9.3
2002年7月,169122.95,14.4,63488.41,17,15358.29,9.1
2002年6月,167869.41,14.7,63144.69,12.8,15098.04,8.3
2002年5月,164268.36,14,61247.53,14.6,15243.74,9.6
2002年4月,162825.22,14.1,60462.04,11.5,15864.91,8.5
2002年3月,162300.93,14.4,59475.67,10.1,15545.47,8.2
2002年2月,159182.97,13,58703.97,10.9,16642.65,11.6
2002年1月,157853.45,13.1,60577.23,9.5,16727.06,-1.7
2001年12月,152888.5,14.4,59871.59,12.7,15688.8,7.1
2001年11月,154088.3,17.6,56579.6,11.4,14780,6.5
2001年10月,146157.58,12.9,56114.9,12.3,14484.61,6.6
2001年9月,151822.6,16.4,56824,12.3,15064.6,8.4
2001年8月,143787.3,13.6,55808.92,14.2,14370.13,7.4
2001年7月,140076.48,13.5,53502.8,11.9,14071.62,7
2001年6月,141885.6,14.3,55187.36,14.9,13943.44,7.2
2001年5月,137219.27,12.1,52542.99,13,13942.28,6.6
2001年4月,138121.03,12.8,53261.32,15,14622.99,6.9
2001年3月,136915.12,13.2,53033.36,17.4,14362.12,8.5
2001年2月,134390.49,12,51997.68,16.4,14910.39,6.6
2001年1月,135685.99,13.5,54406.23,16.8,17018.98,5.8
2000年12月,132487.52,12.3,53147.15,16,14652.65,8.9
2000年11月,128887.4,12.4,50787.49,17.1,13877.7,11.2
2000年10月,127432.53,12.3,49952.84,18.2,13589.45,11.8
2000年9月,128352.61,13.4,50616.89,20.8,13894.69,13.4
2000年8月,125673.26,13.3,48885.38,21.9,13378.68,17.4
2000年7月,124192.78,13.4,47803.09,22.6,13156.47,17.5
2000年6月,124486.78,13.7,48024.4,23.7,13006.04,19.5
2000年5月,121902.65,12.7,46490.23,22.3,13075.45,20.1
2000年4月,121914.77,13.7,46319.03,21.7,13675.5,21.8
2000年3月,120399.58,13,45158.45,18.7,13235.4,16.7
2000年2月,119353.6,12.8,44679.2,15.3,13983,9.4
2000年1月,118907.8,14.9,46570.1,19.4,16093.9,34.2
1999年12月,117638.1,14.7,45837.3,17.7,13455.5,20.1
